Time, PoorSignal, Attention, Meditation
15:56:21,0,44,69
15:56:22,0,44,87
15:56:23,0,50,88
15:56:24,0,44,100
15:56:25,0,44,100
15:56:26,0,50,100
15:56:27,0,51,100
15:56:28,0,54,91
15:56:29,0,48,61
15:56:30,0,37,64
15:56:31,0,44,50
15:56:32,0,43,50
15:56:33,0,48,77
15:56:34,0,51,78
15:56:35,0,40,87
15:56:36,0,35,94
15:56:37,0,37,93
15:56:38,0,37,93
15:56:39,0,35,100
15:56:40,0,30,100
15:56:41,0,27,94
15:56:42,0,29,93
15:56:43,0,47,77
15:56:44,0,67,64
15:56:45,0,63,74
15:56:46,0,63,67
15:56:47,0,50,87
15:56:48,0,50,87
15:56:49,0,57,77
15:56:50,0,74,69
15:56:51,0,81,67
15:56:52,0,78,64
15:56:53,0,75,80
15:56:54,0,67,94
15:56:55,0,67,88
15:56:56,0,56,91
15:56:57,0,57,87
15:56:58,0,74,75
15:56:59,0,75,69
15:57:00,0,87,69
15:57:01,0,87,66
15:57:02,0,67,78
15:57:03,0,61,87
15:57:04,0,48,90
15:57:05,0,44,84
15:57:06,0,48,81
15:57:07,0,61,63
15:57:08,0,66,66
15:57:09,0,88,56
15:57:10,0,87,50
15:57:11,0,91,54
15:57:12,0,90,50
15:57:13,0,74,60
15:57:14,0,66,75
15:57:15,0,56,80
15:57:16,0,48,75
15:57:17,0,37,80
15:57:18,0,37,74
15:57:19,0,34,75
15:57:20,0,40,80
15:57:21,0,53,67
15:57:22,0,66,64
15:57:23,0,64,61
15:57:24,0,75,57
15:57:25,0,75,66
15:57:26,0,67,60
15:57:27,0,67,66
15:57:28,0,66,75
15:57:29,0,61,77
15:57:30,0,56,90
15:57:31,0,54,94
15:57:32,0,51,80
15:57:33,0,53,66
15:57:34,0,57,60
15:57:35,0,61,41
15:57:36,0,64,54
15:57:37,0,69,70
15:57:38,0,75,67
15:57:39,0,80,77
15:57:40,0,83,66
15:57:41,0,77,51
15:57:42,0,80,44
15:57:43,0,75,47
15:57:44,0,67,61
15:57:45,0,63,87
15:57:46,0,43,100
15:57:47,0,44,100
15:57:48,0,47,96
15:57:49,0,50,84
15:57:50,0,61,69
15:57:51,0,57,81
15:57:52,0,70,70
15:57:53,0,74,81
15:57:54,0,84,80
15:57:55,0,91,70
15:57:56,0,80,77
15:57:57,0,83,54
15:57:58,0,77,67
15:57:59,0,67,70
15:58:00,0,66,75
15:58:01,0,61,84
15:58:02,0,56,81
15:58:03,0,57,70
15:58:04,0,56,60
15:58:05,0,67,54
15:58:06,0,67,47
15:58:07,0,70,50
15:58:08,0,77,56
15:58:09,0,60,66
15:58:10,0,63,77
15:58:11,0,64,63
15:58:12,0,56,64
15:58:13,0,61,66
15:58:14,0,56,61
15:58:15,0,61,69
15:58:16,0,60,74
15:58:17,0,61,57
15:58:18,0,75,51
15:58:19,0,69,60
15:58:20,0,77,57
15:58:21,0,74,74
15:58:22,0,64,84
15:58:23,0,61,83
15:58:24,0,66,83
15:58:25,0,61,77
15:58:26,0,54,74
15:58:27,0,48,75
15:58:28,0,40,74
15:58:29,0,44,80
15:58:30,0,43,88
15:58:31,0,53,87
15:58:32,0,57,90
15:58:33,0,56,83
15:58:34,0,54,75
15:58:35,0,51,78
15:58:36,0,53,64
15:58:37,0,64,63
15:58:38,0,67,67
15:58:39,0,63,60
15:58:40,0,56,70
15:58:41,0,47,70
15:58:42,0,56,57
15:58:43,0,53,69
15:58:44,0,47,77
15:58:45,0,50,75
15:58:46,0,41,77
15:58:47,0,47,69
15:58:48,0,51,66
15:58:49,0,48,77
15:58:50,0,41,93
15:58:51,0,44,96
15:58:52,0,40,94
15:58:53,0,43,93
15:58:54,0,47,84
15:58:55,0,41,94
15:58:56,0,51,91
15:58:57,0,53,90
15:58:58,0,50,80
15:58:59,0,53,69
15:59:00,0,51,77
15:59:01,0,54,70
15:59:02,0,66,80
15:59:03,0,64,77
15:59:04,0,56,66
15:59:05,0,44,74
15:59:06,0,44,77
15:59:07,0,40,83
15:59:08,0,44,88
15:59:09,0,43,96
15:59:10,0,29,91
15:59:11,0,26,84
15:59:12,0,38,63
15:59:13,0,41,48
15:59:13,0,50,53
15:59:14,0,61,56
15:59:15,0,56,70
15:59:16,0,56,77
15:59:17,0,67,67
15:59:18,0,66,69
15:59:19,0,64,61
15:59:20,0,63,61
15:59:21,0,51,54
15:59:22,0,48,40
15:59:23,0,44,47
15:59:24,0,61,35
15:59:25,0,63,38
15:59:26,0,70,44
15:59:28,0,64,44
15:59:28,0,51,47
15:59:29,0,64,43
15:59:30,0,64,41
15:59:31,0,75,50
15:59:32,0,84,53
15:59:33,0,77,63
15:59:34,0,67,67
15:59:35,0,70,66
15:59:36,0,66,63
15:59:37,0,77,54
15:59:38,0,83,54
15:59:39,0,83,51
15:59:40,0,80,64
15:59:41,0,60,64
15:59:42,0,60,66
15:59:43,0,54,74
15:59:44,0,51,63
15:59:45,0,53,80
15:59:48,0,56,78
15:59:49,0,50,80
15:59:49,0,51,91
15:59:50,0,47,80
15:59:50,0,47,78
15:59:53,0,51,77
15:59:56,0,51,74
15:59:56,0,43,67
,,61.35073069,74.99582463
